Fp1_Col1,Fp1_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,F8_Col1,F8_Col2,T7_Col1,T7_Col2,P7_Col1,P7_Col2,P8_Col1,P8_Col2,Fz_Col1,Fz_Col2,Pz_Col1,Pz_Col2
-273.265045166016,-403.706146240234,-248.035980224609,-505.209991455078,145.83984375,-180.998886108398,-316.743469238281,-543.434143066406,-57.250545501709,-144.265884399414,-510.321319580078,-294.565643310547,-227.722106933594,120.407913208008,-482.393829345703,-198.593597412109,-255.152450561523,120.875076293945,-423.625427246094,-400.994964599609,210.385223388672,-103.637596130371,-371.21826171875,-455.196960449219,-410.547027587891,-262.008514404297,-111.658096313477,48.4501991271973,-301.710357666016,-324.066619873047,-496.656280517578,-124.434661865234
-233.52197265625,-414.102508544922,-237.343963623047,-487.352874755859,89.2333831787109,-152.869430541992,-309.573455810547,-504.754272460938,-105.653694152832,-58.6938018798828,-458.675994873047,-259.896789550781,-226.142730712891,97.1638488769531,-434.564117431641,-225.235626220703,-148.603912353516,75.2728500366211,-373.855438232422,-353.005584716797,144.872589111328,-75.5942306518555,-335.740356445312,-423.167663574219,-393.195220947266,-240.109832763672,-143.791900634766,6.30816459655762,-286.918792724609,-377.293823242188,-421.848175048828,-181.579467773438
-254.082046508789,-362.725006103516,-259.043823242188,-438.604064941406,-4.57242012023926,-115.515098571777,-321.765594482422,-434.719848632812,-90.4319610595703,-27.1924381256104,-315.773529052734,-227.358383178711,-118.596687316895,74.5224609375,-327.293273925781,-263.177734375,-115.607086181641,67.1614227294922,-400.636932373047,-308.260833740234,68.6384963989258,-36.4916229248047,-352.710327148438,-388.523193359375,-330.066711425781,-245.703643798828,-180.241683959961,-4.58563184738159,-299.524536132812,-356.406646728516,-297.679779052734,-263.480163574219
-301.912872314453,-329.938903808594,-329.984924316406,-404.566375732422,-56.5326042175293,-92.8464660644531,-382.611663818359,-406.400573730469,-70.9492111206055,-61.0467681884766,-197.573425292969,-272.821868896484,-168.505493164062,16.2281723022461,-253.218215942383,-300.995635986328,-299.078460693359,28.4117374420166,-461.989105224609,-288.897399902344,41.2670478820801,3.79820227622986,-414.166656494141,-367.491088867188,-299.420562744141,-334.529693603516,-123.140937805176,9.38448715209961,-345.912322998047,-317.061370849609,-275.160095214844,-348.420227050781
-343.375335693359,-322.204833984375,-422.085052490234,-374.338714599609,-96.4053726196289,-43.9730415344238,-454.918884277344,-396.133209228516,-96.0363159179688,-67.7150497436523,-201.033599853516,-328.435607910156,-233.298095703125,-105.866363525391,-222.372253417969,-339.194580078125,-277.095031738281,-104.316757202148,-495.350463867188,-275.977600097656,25.9199905395508,19.0362720489502,-469.093811035156,-337.220520019531,-347.427124023438,-379.507537841797,-82.8558883666992,-9.3434362411499,-369.196929931641,-341.326477050781,-255.179885864258,-435.22802734375
-378.939575195312,-297.260162353516,-471.143890380859,-363.925537109375,-131.871520996094,6.76537227630615,-461.213317871094,-397.174774169922,-134.626419067383,-58.2953414916992,-195.816192626953,-328.268463134766,-126.103828430176,-182.383377075195,-166.4130859375,-330.721466064453,-34.8752098083496,-143.770477294922,-493.46533203125,-272.053588867188,-22.9512805938721,5.97001171112061,-470.963470458984,-311.531463623047,-387.324340820312,-298.663177490234,-143.37890625,-6.58154153823853,-352.547424316406,-346.279693603516,-155.185134887695,-450.958770751953
-368.633270263672,-310.125793457031,-452.826019287109,-369.251525878906,-124.478469848633,-12.8189430236816,-425.119964599609,-388.548461914062,-146.397232055664,-65.5181198120117,-114.163597106934,-304.195526123047,1.68597912788391,-92.4818954467773,-90.6628341674805,-269.777130126953,78.8464965820312,60.3238983154297,-438.666839599609,-307.763000488281,-43.2525177001953,-26.1171092987061,-444.584442138672,-309.836975097656,-345.619140625,-241.573440551758,-148.206893920898,52.9779281616211,-305.405548095703,-317.008270263672,-56.1268157958984,-386.132720947266
-332.203338623047,-367.752868652344,-409.325927734375,-365.759674072266,-118.591438293457,-54.8594589233398,-389.135101318359,-370.683074951172,-121.719505310059,-58.8122711181641,-65.9253845214844,-301.227325439453,64.9106063842773,25.944429397583,-76.7038345336914,-239.869110107422,104.007362365723,171.100616455078,-362.748413085938,-350.845581054688,-36.8327522277832,-62.3779373168945,-431.396453857422,-322.464447021484,-262.264190673828,-266.963562011719,-22.5190715789795,74.2294769287109,-278.780822753906,-328.935882568359,-26.2456550598145,-351.563629150391
-326.858551025391,-403.360778808594,-401.907531738281,-388.003631591797,-146.498657226562,-66.6504898071289,-388.539733886719,-392.545349121094,-117.595306396484,-49.3527030944824,-118.16569519043,-301.017364501953,115.8798828125,-43.6699714660645,-133.906951904297,-258.065887451172,165.471572875977,-82.8952789306641,-355.846649169922,-346.380187988281,-70.0533294677734,-79.2165145874023,-434.308349609375,-337.986022949219,-218.550796508789,-248.438446044922,77.0687866210938,41.6104545593262,-288.850738525391,-358.924957275391,-61.4880790710449,-374.742797851562
-355.688140869141,-397.723815917969,-454.24560546875,-407.324584960938,-174.809875488281,-83.3533096313477,-470.024719238281,-424.598815917969,-157.954116821289,-66.0150146484375,-230.270355224609,-301.847381591797,137.101379394531,-207.80029296875,-182.381439208984,-280.949279785156,175.939529418945,-322.49365234375,-399.411376953125,-315.499542236328,-108.537895202637,-71.6326293945312,-450.752868652344,-343.252716064453,-238.886291503906,-221.202163696289,81.390266418457,17.2980346679688,-292.599243164062,-362.619659423828,-100.953437805176,-380.0244140625
