PointCloud,H1_Birth,H1_Death
Fp1_Col1_Fp1_Col2,229.1126251,288.5869446
Fp1_Col1_Fp1_Col2,181.7550812,198.3300018
Fp1_Col1_Fp1_Col2,147.1216583,166.4589081
Fp1_Col1_Fp1_Col2,135.9617615,212.1275787
Fp1_Col1_Fp1_Col2,118.572258,130.4828339
Fp1_Col1_Fp1_Col2,112.8776703,147.5604095
Fp1_Col1_Fp1_Col2,78.28380585,82.28347778
Fp1_Col1_Fp1_Col2,75.21961975,80.35010529
Fp1_Col1_Fp1_Col2,66.48007202,87.52146912
Fp1_Col1_Fp1_Col2,63.83012009,93.74201965
Fp1_Col1_Fp1_Col2,63.58091736,72.46784973
Fp1_Col1_Fp1_Col2,55.2046051,56.86218643
Fp1_Col1_Fp1_Col2,52.24256516,58.10100937
Fp1_Col1_Fp1_Col2,48.75318909,49.16090393
Fp1_Col1_Fp1_Col2,48.36769867,49.13114166
Fp1_Col1_Fp1_Col2,44.98271179,59.78020096
Fp1_Col1_Fp1_Col2,44.52378082,44.96023941
Fp1_Col1_Fp1_Col2,43.98552322,54.83930206
Fp1_Col1_Fp1_Col2,40.51291275,41.0901413
Fp1_Col1_Fp1_Col2,39.21496582,54.9519043
Fp1_Col1_Fp1_Col2,38.91119766,47.6668129
Fp1_Col1_Fp1_Col2,38.77786636,57.30012131
Fp1_Col1_Fp1_Col2,37.91500092,38.6232605
Fp1_Col1_Fp1_Col2,37.6398468,57.11929703
Fp1_Col1_Fp1_Col2,36.21107864,41.03238297
Fp1_Col1_Fp1_Col2,35.86110306,38.08426285
Fp1_Col1_Fp1_Col2,33.40492249,65.08409882
Fp1_Col1_Fp1_Col2,33.3747673,39.74504471
Fp1_Col1_Fp1_Col2,32.71063614,32.72782898
Fp1_Col1_Fp1_Col2,32.42860413,45.23102951
Fp1_Col1_Fp1_Col2,31.53459358,38.87295914
Fp1_Col1_Fp1_Col2,29.55186844,29.85464668
Fp1_Col1_Fp1_Col2,29.23337936,32.05748367
Fp1_Col1_Fp1_Col2,28.93364334,29.24534035
Fp1_Col1_Fp1_Col2,28.40395164,31.98614693
Fp1_Col1_Fp1_Col2,26.73739243,29.36472511
Fp1_Col1_Fp1_Col2,26.35367775,32.15999603
Fp1_Col1_Fp1_Col2,26.31044197,26.70487022
Fp1_Col1_Fp1_Col2,26.21452904,32.14200592
Fp1_Col1_Fp1_Col2,25.71228027,26.85384178
Fp1_Col1_Fp1_Col2,25.27072525,34.48562241
Fp1_Col1_Fp1_Col2,25.06633568,27.7666378
